binary	size	status	seconds	peak_MB
labinius	sizes	ok	0	104
pcs-competitors	sizes	ok	2	100
hashes-flock	sizes	ok	6	1443
hashes-binius	sizes	ok	11	2730
labinius	sizem	ok	1	403
pcs-competitors	sizem	ok	6	310
hashes-flock	sizem	ok	10	2697
hashes-binius	sizem	ok	47	10709
labinius	sizel	ok	3	1517
pcs-competitors	sizel	ok	26	1248
hashes-flock	sizel	ok	24	6967
hashes-binius	sizel	ok	193	41913
labinius	sizexl	ok	12	6004
pcs-competitors	sizexl	ok	112	4723
hashes-flock	sizexl	ok	77	22623
hashes-binius	sizexl	skipped: 62 GB < 80 GB	-	-
labinius	sizes/labrador	ok	0	285
labinius	sizem/labrador	ok	2	842
labinius	sizel/labrador	ok	3	2349
labinius	sizexl/labrador	ok	9	7453
