binary	size	status	seconds	peak_MB
labinius	sizes	ok	0	105
pcs-competitors	sizes	ok	1	101
hashes-flock	sizes	ok	6	1442
hashes-binius	sizes	ok	10	2706
labinius	sizem	ok	1	403
pcs-competitors	sizem	ok	4	330
hashes-flock	sizem	ok	9	2697
hashes-binius	sizem	ok	41	10483
labinius	sizel	ok	2	1515
pcs-competitors	sizel	ok	18	1252
hashes-flock	sizel	ok	19	6968
hashes-binius	sizel	ok	164	41665
labinius	sizexl	ok	8	6004
pcs-competitors	sizexl	ok	81	4750
hashes-flock	sizexl	ok	57	22623
hashes-binius	sizexl	rc134	1	3
labinius	sizes/labrador	ok	0	285
labinius	sizem/labrador	ok	1	843
labinius	sizel/labrador	ok	2	2350
labinius	sizexl/labrador	ok	6	7453
